日期,流水號,名稱,維基集數,ESFIO,無文字版本,imgur,i.imgur
191111,SS0001,你為什麼不問問神奇海螺呢,42-A,S3E03,,https://imgur.com/XB4MwpR,https://i.imgur.com/XB4MwpR.jpg
191111,SS0002,你現在是在懷疑神奇海螺的神奇魔力嗎,42-A,S3E03,,https://imgur.com/Mz19r2y,https://i.imgur.com/Mz19r2y.jpg
191116,SS0003,怎麼可能會有人說出這句沒有意義的話呢,43-A,S3E05,,https://imgur.com/TBKrCPg,https://i.imgur.com/TBKrCPg.jpg
191119,SS0004,派欸,24-A,S2E07,,https://imgur.com/LnqYfQv,https://i.imgur.com/LnqYfQv.jpg
191119,SS0005,今天很嗆是吧,06-B,S1E13,,https://imgur.com/u0dL09Z,https://i.imgur.com/u0dL09Z.jpg
191119,SS0006,這只是一幅畫像 不是真的人,07-A,S1E14,,https://imgur.com/EbS6NvP,https://i.imgur.com/EbS6NvP.jpg
191119,SS0007,看到沒有 這可是門科學,08-A,S1E16,,https://imgur.com/NLORoDg,https://i.imgur.com/NLORoDg.jpg
191119,SS0008,你什麼時候才要離開你的幻想小世界啊,33-A,S2E24,,https://imgur.com/nnQ0Soo,https://i.imgur.com/nnQ0Soo.jpg
191119,SS0009,先生 沒有那種東西,06-B,S1E13,,https://imgur.com/ExFTpbu,https://i.imgur.com/ExFTpbu.jpg
191119,SS0010,你還不懂嗎你這甲殼類大頭呆,06-B,S1E13,,https://imgur.com/e1MIxsr,https://i.imgur.com/e1MIxsr.jpg
191201,SS0011,難道說我的表情還不夠確定嗎,43-A,S3E05,,https://imgur.com/kO3SS5X,https://i.imgur.com/kO3SS5X.jpg
200107,SS0012,你真的很臭,11-A,S1E22,,https://imgur.com/qTusPtU,https://i.imgur.com/qTusPtU.jpg
200107,SS0013,小朋友 發動你的引擎,16-B,S1E33,,https://imgur.com/6PcN2dU,https://i.imgur.com/6PcN2dU.jpg
200229,SS0014,好了 尖頭 給我納命來,29-A,S2E16,,https://imgur.com/OIhx0eB,https://i.imgur.com/OIhx0eB.jpg
200107,SS0015,你叫誰尖頭啊,29-A,S2E16,,https://imgur.com/uQQNedS,https://i.imgur.com/uQQNedS.jpg
200107,SS0016,芝麻開門,29-A,S2E16,,https://imgur.com/C2Aj8gg,https://i.imgur.com/C2Aj8gg.jpg
200107,SS0017,沒關係 你慢慢想,26-B,S2E12,,https://imgur.com/YHYcLwR,https://i.imgur.com/YHYcLwR.jpg
200107,SS0018,誰會想在凌晨三點吃美味蟹堡,36-A,S2E30,,https://imgur.com/nWkSB2G,https://i.imgur.com/nWkSB2G.jpg
200107,SS0019,好棒 三點了,36-A,S2E30,,https://imgur.com/gF69EIo,https://i.imgur.com/gF69EIo.jpg
200110,SS0020,我...我要去檢舉你,27-B,S2E14,,https://imgur.com/etx3P2j,https://i.imgur.com/etx3P2j.jpg
200110,SS0021,你太可悲了,29-B,S2E17,,https://imgur.com/kLoWL4L,https://i.imgur.com/kLoWL4L.jpg
200110,SS0022,請你面對事實 這樣只會傷害你自己,29-B,S2E17,,https://imgur.com/yFwUyLL,https://i.imgur.com/yFwUyLL.jpg
200110,SS0023,我還以為你喜歡的是我,29-B,S2E17,,https://imgur.com/5LJzVJg,https://i.imgur.com/5LJzVJg.jpg
200110,SS0024,不是 我是派大星,23-A,S2E05,,https://imgur.com/nnbCbAJ,https://i.imgur.com/nnbCbAJ.jpg
200110,SS0025,不是啦 我是派大星,23-A,S2E05,,https://imgur.com/TywYVqi,https://i.imgur.com/TywYVqi.jpg
200110,SS0026,老弟 你是負責搞笑的是嗎,23-A,S2E05,,https://imgur.com/kh6Utcl,https://i.imgur.com/kh6Utcl.jpg
200110,SS0027,再繞到她後面 我來下手,26-A,S2E11,,https://imgur.com/Mza9ebo,https://i.imgur.com/Mza9ebo.jpg
200110,SS0028,真的好想好想要,27-B,S2E14,,https://imgur.com/iVXYbSV,https://i.imgur.com/iVXYbSV.jpg
200110,SS0029,你拿你的臭嘴去親你老媽啦,38-A,S2E34,,https://imgur.com/8qys1ld,https://i.imgur.com/8qys1ld.jpg
200110,SS0030,我要去舔大理石,38-B,S2E35,,https://imgur.com/bY8mnD0,https://i.imgur.com/bY8mnD0.jpg
200110,SS0031,我要變成大理石,38-B,S2E35,,https://imgur.com/LY5y3PB,https://i.imgur.com/LY5y3PB.jpg
200303,SS0032,"""我會為海膽踩煞車""",05-A,S1E10,,https://imgur.com/96HogRZ,https://i.imgur.com/96HogRZ.jpg
200229,SS0033,而且一小時只有50塊錢耶,23-A,S2E05,,https://imgur.com/0PWQKnN,https://i.imgur.com/0PWQKnN.jpg
200229,SS0034,好奇怪 那不是我的名字,23-A,S2E05,,https://imgur.com/Qnwxds8,https://i.imgur.com/Qnwxds8.jpg
200229,SS0035,講話大聲的人就會很有力量,35-B,S2E29,,https://imgur.com/bcTtZZp,https://i.imgur.com/bcTtZZp.jpg
200229,SS0036,至少我們還擁有彼此啊,27-B,S2E14,,https://imgur.com/UYhb8kb,https://i.imgur.com/UYhb8kb.jpg
200229,SS0037,課本沒有教耶,38-B,S2E35,,https://imgur.com/G6oyGKW,https://i.imgur.com/G6oyGKW.jpg
200229,SS0038,看樣子我們的史前好朋友剛剛發現了火,54,S3E26,,https://imgur.com/pf1rJDh,https://i.imgur.com/pf1rJDh.jpg
200229,SS0039,我破產了,27-B,S2E14,,https://imgur.com/9CTti39,https://i.imgur.com/9CTti39.jpg
200107,SS0040,我需要錢,27-B,S2E14,,https://imgur.com/oV9Lsl9,https://i.imgur.com/oV9Lsl9.jpg
200229,SS0041,我警告你,27-B,S2E14,,https://imgur.com/J3b6ew8,https://i.imgur.com/J3b6ew8.jpg
200229,SS0042,騙子 騙子 你是臭騙子,27-B,S2E14,,https://imgur.com/OiMNaYX,https://i.imgur.com/OiMNaYX.jpg
200229,SS0043,你偷了我僅有的食物,27-B,S2E14,,https://imgur.com/E91Wg8Z,https://i.imgur.com/E91Wg8Z.jpg
200229,SS0044,現在我要餓死了,27-B,S2E14,,https://imgur.com/mElL7bg,https://i.imgur.com/mElL7bg.jpg
200301,SS0045,好可憐哦,48-B,S3E16,,https://imgur.com/HMqZOm2,https://i.imgur.com/HMqZOm2.jpg
200301,SS0046,長官 這個任務可以讓我充滿了希望,48-B,S3E16,,https://imgur.com/10i8bGf,https://i.imgur.com/10i8bGf.jpg
200301,SS0047,帽子給我好嗎,48-B,S3E16,,https://imgur.com/EZpwKjT,https://i.imgur.com/EZpwKjT.jpg
200301,SS0048,不要跟我頂嘴,48-B,S3E16,,https://imgur.com/zfijIaD,https://i.imgur.com/zfijIaD.jpg
200301,SS0049,開胃菜抓狂了,48-B,S3E16,,https://imgur.com/Hsf2OHu,https://i.imgur.com/Hsf2OHu.jpg
200301,SS0050,我的動機何在,58-A,S3E33,,https://imgur.com/23rxaaW,https://i.imgur.com/23rxaaW.jpg
240730,SS0051,好吵哦,23-A,S2E05,,https://imgur.com/kPbdKEW,https://i.imgur.com/kPbdKEW.jpg
200303,SS0052,不 我弄破了,23-A,S2E05,,https://imgur.com/DWjxWk2,https://i.imgur.com/DWjxWk2.jpg
200303,SS0053,沒文化的垃圾渣渣,38-B,S2E35,,https://imgur.com/zz4siY5,https://i.imgur.com/zz4siY5.jpg
200303,SS0054,派大星啊 你真的好會殺價,46-B,S3E12,,https://imgur.com/Q2u1Z1m,https://i.imgur.com/Q2u1Z1m.jpg
200303,SS0055,發財囉,17-A,S1E34,,https://imgur.com/dzbndNl,https://i.imgur.com/dzbndNl.jpg
200307,SS0056,這種可怕又殘酷的幻影什麼時候才會消失,45-B,S3E10,,https://imgur.com/tHys8w2,https://i.imgur.com/tHys8w2.jpg
200324,SS0057,然後我就可以扁他了 對嗎,56-B,S3E30,,https://imgur.com/rPFLk99,https://i.imgur.com/rPFLk99.jpg
200307,SS0058,再摔一次 我沒看到,56-B,S3E30,,https://imgur.com/PWq1WlB,https://i.imgur.com/PWq1WlB.jpg
200307,SS0059,你到別的地方去耍笨好不好,56-B,S3E30,,https://imgur.com/lU4M8J2,https://i.imgur.com/lU4M8J2.jpg
200307,SS0060,我不想欸,56-B,S3E30,,https://imgur.com/1YmJUUt,https://i.imgur.com/1YmJUUt.jpg
200307,SS0061,你不要來亂好不好,56-B,S3E30,,https://imgur.com/jlrbKH9,https://i.imgur.com/jlrbKH9.jpg
200307,SS0062,一塊唱歌唱得好好聽哦,56-B,S3E30,,https://imgur.com/9704PCM,https://i.imgur.com/9704PCM.jpg
200307,SS0063,快點離開這裡,56-B,S3E30,,https://imgur.com/eUv3bLh,https://i.imgur.com/eUv3bLh.jpg
200307,SS0064,生日快樂 章魚哥,09-B,S1E19,,https://imgur.com/95Jh91r,https://i.imgur.com/95Jh91r.jpg
200307,SS0065,祝你生日快樂...,09-B,S1E19,,https://imgur.com/suA8m2b,https://i.imgur.com/suA8m2b.jpg
200307,SS0066,祝你生日快樂 我們來為你慶生,09-B,S1E19,,https://imgur.com/SQQPJle,https://i.imgur.com/SQQPJle.jpg
200307,SS0067,祝你生日快樂 生日快樂蛋糕...,09-B,S1E19,,https://imgur.com/41ChihV,https://i.imgur.com/41ChihV.jpg
200307,SS0068,今天根本就不是我的生日,09-B,S1E19,,https://imgur.com/stmFOWY,https://i.imgur.com/stmFOWY.jpg
200307,SS0069,那這些是學習樓梯 對嗎,53-A,S3E24,,https://imgur.com/cMznKlB,https://i.imgur.com/cMznKlB.jpg
200324,SS0070,不 那只是普通樓梯啦,53-A,S3E24,,https://imgur.com/8mwpK29,https://i.imgur.com/8mwpK29.jpg
200307,SS0071,這個才是學習樓梯,53-A,S3E24,,https://imgur.com/Ru7mcE5,https://i.imgur.com/Ru7mcE5.jpg
200307,SS0072,24,53-A,S3E24,,https://imgur.com/TDtBZOC,https://i.imgur.com/TDtBZOC.jpg
200307,SS0073,那胖子在跟誰說話,53-A,S3E24,,https://imgur.com/g9wtUSv,https://i.imgur.com/g9wtUSv.jpg
200307,SS0074,慘了 又來個天兵,53-A,S3E24,,https://imgur.com/RYzTLi0,https://i.imgur.com/RYzTLi0.jpg
200307,SS0075,因為兇兇肥婆叫你去坐 快點,53-A,S3E24,,https://imgur.com/dmRsBnD,https://i.imgur.com/dmRsBnD.jpg
200307,SS0076,我長得有這麼畸形嗎 海綿寶寶,53-A,S3E24,,https://imgur.com/780r7zI,https://i.imgur.com/780r7zI.jpg
200307,SS0077,他們在耍笨阿,53-A,S3E24,,https://imgur.com/dtfhsYk,https://i.imgur.com/dtfhsYk.jpg
200307,SS0078,沒有人敢叫我胖呆,48-A,S3E15,,https://imgur.com/exKhxXr,https://i.imgur.com/exKhxXr.jpg
200307,SS0079,好好享受一下,53-B,S3E25,,https://imgur.com/SsZigM7,https://i.imgur.com/SsZigM7.jpg
